INSTRUMENTO,Data,COTA/ELEVATION(m),THERMISTOR/ELECTRICAL RESISTANCE(Ohm),MCA/WATER LEVEL(m),FREQUENCIA/FREQUENCY(Hz),KPA/PRESSURE(kPA),TEMPERATURA/TEMPERATURE(°C),COTA_LOCAL/ELEVATION(m)
BA1-PZE-01 (2),2021-02-27 04:00:00.000003,1.151744342248,2300.082,5.05274434224785,2871.364,49.5491310630348,31.1089402208656,54.951744342248
BA1-PZE-01 (2),2021-02-27 04:30:00,1.153503356582,2300.634,5.05450335658178,2871.339,49.566380626019,31.1032690117942,54.953503356582
BA1-PZE-01 (2),2021-02-27 04:59:59.999997,1.14811632948,2300.26,5.04911632947995,2871.419,49.5135533911879,31.1071112924158,54.94811632948
BA1-PZE-01 (2),2021-02-27 05:30:00.000003,1.154340708925,2299.71,5.05534070892515,2871.324,49.5745920212916,31.1127629953851,54.954340708925
BA1-PZE-01 (2),2021-02-27 06:00:00,1.153758336543,2300.187,5.05475833654319,2871.334,49.5688810564132,31.1078613391164,54.953758336543
BA1-PZE-01 (2),2021-02-27 06:29:59.999997,1.15569725801,2299.86,5.05669725800962,2871.304,49.5878948571033,31.1112214694748,54.95569725801
BA1-PZE-01 (2),2021-02-27 07:00:00.000003,1.151093505718,2300.165,5.05209350571796,2871.374,49.5427487127053,31.1080873858941,54.951093505718
BA1-PZE-01 (2),2021-02-27 07:30:00,1.155327301614,2300.028,5.05632730161358,2871.31,49.5842669241005,31.1094950961381,54.955327301614
BA1-PZE-01 (2),2021-02-27 07:59:59.999997,1.151706467346,2299.864,5.0527064673461,2871.364,49.5487596473559,31.1111803636817,54.951706467346
BA1-PZE-01 (2),2021-02-27 08:30:00.000003,1.153794468385,2300.395,5.05479446838501,2871.334,49.5692353789845,31.1057242910385,54.953794468385
BA1-PZE-01 (2),2021-02-27 09:00:00,1.153443952545,2300.292,5.05444395254502,2871.339,49.5657980874608,31.1067825133514,54.953443952545
BA1-PZE-01 (2),2021-02-27 09:29:59.999997,1.151532261738,2300.776,5.05253226173833,2871.369,49.547051320968,31.101810363947,54.951532261738
BA1-PZE-01 (2),2021-02-27 10:00:00.000003,1.150720050044,2299.93,5.05172005004441,2871.379,49.5390864644568,31.1105021298298,54.950720050044
BA1-PZE-01 (2),2021-02-27 10:30:00,1.153704479309,2299.877,5.05470447930852,2871.334,49.5683529119036,31.1110467704156,54.953704479309
BA1-PZE-01 (2),2021-02-27 10:59:59.999997,1.155366736874,2300.255,5.05636673687379,2871.31,49.5846536412472,31.1071626646142,54.955366736874
BA1-PZE-01 (2),2021-02-27 11:30:00.000003,1.150284376764,2299.337,5.05128437676365,2871.384,49.5348140867105,31.116596752038,54.950284376764
BA1-PZE-01 (2),2021-02-27 12:00:00,1.152403688823,2300.048,5.05340368882283,2871.354,49.5555968661011,31.1092895850512,54.952403688823
BA1-PZE-01 (2),2021-02-27 12:29:59.999997,1.153043400428,2299.901,5.05404340042814,2871.344,49.5618701211926,31.1108001389487,54.953043400428
BA1-PZE-01 (2),2021-02-27 13:00:00.000003,1.15477948302,2300.321,5.05577948302008,2871.319,49.5788948068014,31.1064845618154,54.95477948302
BA1-PZE-01 (2),2021-02-27 13:30:00,1.151774396032,2300.255,5.05277439603182,2871.364,49.5494257818614,31.1071626646142,54.951774396032
BA1-PZE-01 (2),2021-02-27 13:59:59.999997,1.146095311896,2299.732,5.0470953118963,2871.448,49.4937345247761,31.1125368977657,54.946095311896
BA1-PZE-01 (2),2021-02-27 14:30:00.000003,1.151999651454,2299.637,5.0529996514542,2871.359,49.5516347221298,31.1135132460109,54.951999651454
BA1-PZE-01 (2),2021-02-27 15:00:00,1.148703589635,2299.811,5.04970358963476,2871.409,49.5193122874247,31.1117250220355,54.948703589635
BA1-PZE-01 (2),2021-02-27 15:29:59.999997,1.145484419007,2300.045,5.04648441900748,2871.458,49.4877438769688,31.1093204115847,54.945484419007
BA1-PZE-01 (2),2021-02-27 16:00:00.000003,1.148446009701,2300.243,5.04944600970058,2871.414,49.5167863607102,31.1072859584085,54.948446009701
BA1-PZE-01 (2),2021-02-27 16:30:00,1.148065427757,2299.967,5.04906542775688,2871.419,49.5130542295489,31.1101219175003,54.948065427757
BA1-PZE-01 (2),2021-02-27 16:59:59.999997,1.149319504432,2299.527,5.05031950443176,2871.399,49.5253521819718,31.1146438117889,54.949319504432
BA1-PZE-01 (2),2021-02-27 17:30:00.000003,1.152415154924,2300.114,5.05341515492419,2871.354,49.5557093070476,31.1086114128773,54.952415154924
BA1-PZE-01 (2),2021-02-27 18:00:00,1.14869976707,2299.789,5.04969976707006,2871.409,49.5192748019034,31.1119511108259,54.94869976707
BA1-PZE-01 (2),2021-02-27 18:29:59.999997,1.154737095663,2300.077,5.05573709566307,2871.319,49.5784791402709,31.1089915975836,54.954737095663
BA1-PZE-01 (2),2021-02-27 21:00:00,1.155047131925,2299.947,5.05604713192518,2871.314,49.5815194736706,31.1103274368149,54.955047131925
